Company,Job Title,Location,job Description
Lilly,Search Engine Optimization Associate,Bengaluru,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
The Search Engine Optimization Associate

Organization Overview:

At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 40,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.

Lilly is seeking a Search Engine Optimization (SEO) associate to join our In-House Organic Search team to create meaningful connections with consumers and healthcare providers, drive business results, and ultimately help deliver on its company purpose to make life better for people around the world.

The Search ecosystem is particularly dynamic and swiftly evolving – marked by shifts in user behavior and loyalty, new ways to leverage data, and more. Lilly recognizes the need to keep a continuous pulse on the Search landscape to ensure its solutions and expertise remain current and relevant as it strives to meet the needs of customers when and where they want to engage.

The Search Engine Optimization Associate will be part of the Search Capabilities Team, which is is part of Lilly’s Digital Engagement Organization – joining the Enterprise Website Team and Social Media Center of Excellence – which collectively designs and deploys integrated, innovative digital marketing strategies to improve health outcomes and address timely business needs across Customers, Business Units, Functions, and Geographies.

The Search Engine Optimization Associate will assist with organic search strategy & operations, driving both executional excellence and channel innovation in partnership with Brand Teams, Therapeutic Areas, and Cross-Functional players across Lilly.

Responsibilities:

The Search Engine Optimization Associate will be responsible for executing a strategic deliverables when it comes to Organic Search Engine optimization (SEO) which includes: developing and optimizing new and current keyword lists across customer groups and therapeutic areas, technical site audits for all websites to maintain optimal site health, finding content opportunities and partnering with technology, brand and search counterparts on a daily basis. The Search Engine Optimization Associate will also be responsible for partnering with cross-functional teams and marketing teams to establish Key Performance Indicators that align with site strategy and the overall channel mix. The Search Engine Optimization Associate will also assist with reporting, keyword optimization, technical audits, content recommendations, competitive landscape analyses and trends, algorithm update reports and additional content research.

Specific Responsibilities:
Knowledge or basaeline knowledge of essential SEO tools when it comes to content, technical and keyword research.
Ability to optimize current target keyword lists for different therapeutic areas and a clear understanding of our overall keyword strategy
Understand industry trends and updates that directly correlate to our overall organic strategy and how they may affect current site performance
Identify new optimization and testing opportunities to enhance search performance and drive the business forward
Build, execute and manage organic tactics across multiple therapeutic areas
Foster productive industry relationships and manage integration among key strategic partners.

Foster collaborative relationship with key internal teams.

Basic Qualifications:
Bachelor’s Degree
2+ years media agency or consumer and/or Pharma/Healthcare industry experience – can be general digital marketing experience or specific to Organic Search
Digital Channel/tactic understanding, including measurement and optimization
Working knowledge of Google Analytics, Google Search Console, and Technical Tools such as SEM Rush and Screaming Frog.
Strong organizational skills and ability to handle multiple projects simultaneously
Additional Skills/Preferences:
Demonstrated strong verbal and written communication skills with the ability to communicate effectively to any level of the organization
Demonstrated ability to develop and apply creative solutions
Demonstrated ability to network and influence at multiple levels, across functions and within a matrixed organization
Ability to influence without authority
Proficient in Excel and PowerBI
Additional Information Lilly is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
Travel Percentage: 0-10%

Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.
Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
#WeAreLilly"
Yashram Lifestyle Brands Pvt. Ltd.,Operation Manager,Bengaluru,"About Our Company
At Yashram Lifestyle Brands, we are inspired to solve real life vulnerabilities faced by people. Our brands, products, innovations and inventions are all a result of our passion in improving quality of life. Our invention 'Period Panty' dates back to 2007 and is patented in India & USA. Our unique products have earned us satisfied customers across the globe.
We are in a high growth phase and building a team that works with high integrity, ownership and a never-give-up attitude.
Our brands:
Morph (www.morphmaternity.com)
Morph is India's most loved maternity and nursing wear brand. We continuously innovate in this space for the comfort and safety of new mothers.
Adira (www.myadira.com)
Adira is a fun and practical intimate brand for girls, teens and ladies with innovations. To name a few, are India & USA Patented period panties, support bras for growing girls and more.
Pristine-Life (www.pristine-life.com)
Incontinence Underwear For people who suffer from light urine leakage problems.
How To Tell Your Child (www.howtotellyourchild.com)
How To Tell Your Child, is a social initiative of Yashram Brands where we help parents, schools & communities fight child sexual abuse.
We are looking for an experienced and passionate Operation Manager responsible for acquiring new customers in line with the market growth roadmap. In this role, you will develop pipeline of new prospects and deliver on top line and bottom-line growth and build strong customer partnerships.
This is an individual contributor role, and the position will be based in Bangalore.
Roles & Responsibilities:
Understanding the business environment and the constantly changing dynamics.
Ability in identifying and researching opportunities that come up in new and existing markets.
Running outbound campaigns (phone calls, emails, etc.) to create sales opportunities.
· Growing business through the development of new leads and identify potential clients.
Managing the various lead flow channels and ensuring speed of response.
Developing rapport with key decision makers and conduct market research.
· Provide feedback on market conditions and customer needs.
· Prepare regular reports on call performance, lead generation, and conversion rates.
· Strong communication and negotiation skills.
· Goal-oriented with excellent organizational skills.
· Expand & develop connections in the Education industry from a business development perspective.
· Co-ordinate with the Training Team for the providing training session for the clients.
Skill Requirement:
· Proven B2B/B2C sales experience for 10-12 Years, preferably in Education materials.
· Good exposure to MS Excel and social media
· Work with internal team and potential clients
· Create marketing collaterals and expand brand visibility
· Strong organizational and time management skills
Job Type: Full-time
Pay: ₹35,000.00 - ₹40,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Experience:
total work: 10 years (Required)
Work Location: In person"
Almabase,Customer Success Manager- Enterprise,Bengaluru,"The Company:
Our mission is to make education affordable by helping institutions increase alumni giving. The idea started from our founders’ own struggle with the lack of scholarships when they were students. Watch this TEDx talk from Kalyan to learn more.
We are a bootstrapped company that has grown to be a leader in the alumni software space in the US. We’re slated for even faster growth on the path to becoming market leaders through a unique strategic partnership with Blackbaud (read more here & here)
Our customers are universities and high schools and in most cases, we’re working with staff in the alumni relations and fundraising office at these institutions. The value prop for them at a high level is simple - “Engage more alumni and raise more money from them”. 90%+ of our customers are from the US currently but we’re starting sales in UK and Canada this year so we’ll start to see some more customer regions this year. Our team is based in India and the USA. The India team is based in Bangalore and the US team is fully remote.
Work Timing
Please be aware that all your customers are US universities and high schools. So you are expected to work during US hours 9 am - 5 pm EST - 5 PM to 2:30 AM IST (approx)
Work Location
We follow a hybrid work policy, requiring you to work from the office at least 2 to 3 days per week.
Responsibilities
KPIs: onboarding (CSAT and time to first value), account retention, $ expansion, product adoption, and building advocates.
Accountable for the complete post-sales customer journey. (Onboarding Adoption Retention Advocacy)
You’ll be handling our enterprise and strategically important accounts with high levels of complexity.
Become the trusted advisor for each of your customers and help them achieve their alumni engagement and fundraising goals. Build and maintain strong relationships with the champion and other key stakeholders.
Train customers on the product and leverage product workshops to ensure that they are equipped with knowledge about using Almabase.
Collaborate with customers to solve various use cases using the Almabase product.
Conduct regular check-ins & business reviews with your customers to ensure consistent engagement.
Own the churn prevention and expansion process for all your accounts. Monitor at-risk customer behavior and carry out activities to retain them.
Proactively identify opportunities for expansion and contact customers for up-sell/cross-sell.
Identify customer insights and pain points and contribute to the product roadmap by providing active feedback to the product team.
Collaborate with the Marketing team to build customer case studies, testimonials, and referrals.
Work with your manager to contribute to the team's internal process building.
Documenting all customer conversations and information on our CRM.
An independent Customer Support team is responsible for responding to questions that customers have while using the product. As a CSM, you are expected to be proactive in helping customers succeed, which is how the role differs from Customer Support.
Requirements
At least 2 years of SaaS B2B work experience in customer success roles such as Customer Success Manager, Customer Success Associate, Account Manager, etc. Experience working with US customers would be great.
Excellent written and verbal business communication skills.
Ability to communicate and foster positive business relationships.
Strong problem-solving skills, a technical and analytical aptitude, with the ability to quickly learn and adopt technical products.
An ability to understand a software product and its nuances very well.
Experience with customer success software or CRM (like Hubspot) would be helpful. We use Hubspot.
What will a typical quarter look like?
At the beginning of each quarter, we will work with you to come up with a set of OKRs (Objectives and Key Results) to work towards. This will help you focus.
Onboarding: You will have customers who just signed up with Almabase, and you’ll be accountable for their onboarding. A separate implementation team will ensure the customer’s implementation is completed before handing it to you (CSM). You will ensure the customer is trained and that the program they intended to launch on Almabase is launched.
Renewals: You will have customers whose renewal is due in the quarter. You will identify opportunities to upsell and get them to sign a new contract. If the customer is at risk of churn, you will work towards eliminating that risk. Most of our contracts are multi-year contracts, so a customer comes up for renewal only once in 2 - 3 years on average.
Engagement: For the rest of the customers, you will plan to engage them in different ways based on their goals and current product adoption. You will be identifying opportunities to cross-sell additional products that will be beneficial for them. You will conduct business reviews to help them both tactically and strategically.
Building Advocates: Actively going through your portfolio to identify opportunities where customers can give us a G2 review, Capterra review, video testimonial. Also, to nudge customers to give us referrals, be references for prospects, help us build case studies, or be an advocate for Almabase at a conference.
Apart from all of the above account management work, you will also work with teammates or cross-functionally to improve internal processes and help us do our day-to-day jobs better. For example, develop a playbook to drive more product adoption for a certain type of customer. These objectives help the entire function progress forward, not just your own portfolio of customers.
What will make you successful in this role?
You need to understand the customer pain points and the market really deeply to be successful in this role.
Being curious. Doing deep discovery to understand customer workflows and what they have hired Almabase for.
You need to have a deep understanding of our product to match the customer’s needs to specific parts of it. You will often have to screen share with the customer and help them set up something specific within the product.
You need to be disciplined and good at multitasking. Since you’ll have multiple customers in your portfolio, it’s very easy to get overwhelmed.
You need to care about the customers’ problems genuinely. That authenticity will help you form better relationships with the customers, which is critical to succeeding in this role.
How will we set you up for success in this role?
We will provide you with detailed training to give you a headstart in the world of alumni relations and educational fundraising. We’ll also talk about the competitive landscape and provide you access to hundreds of recorded conversations with existing customers and existing collateral. You can also dive into our CRM to see all prior customer conversations.
We will provide you with in-depth training on our product and sandbox access to let you play around. The goal is for you to figure out how each piece helps solve a piece of the puzzle for customers.
We will provide you with a playbook for how we currently manage customers. You are welcome to suggest improvements, but this will certainly give you a headstart rather than starting from scratch.
You will have plenty of opportunities to shadow calls where other CSMs are talking to their customers before taking your first call with a customer. We will shadow you on the first few calls to provide feedback.
You will participate in a weekly standup with the entire customer success, onboarding, support & customer experience team to learn from each other and eliminate bottlenecks quickly. Apart from regular mentoring, you will also have a quarterly 1:1 review with your manager to discuss your career goals and overall success.
We will provide you with access to the best customer success resources and add you to a few customer success communities so you can discuss with other people in similar roles—learn and teach at the same time. We’ve found that this is the fastest way to improve your skills.
Most importantly, we will help you set up a one-on-one casual chat with every member of the Almabase team so you get to know everyone well.
Benefits:
This is what our team members enjoy the most at Almabase:
Strong Culture: We have a culture that we’re proud of. Read more on how our team feels about the company on Glassdoor (here). When you work at Almabase you get to work with amazing people that will help you grow to become the best version of yourself.
Transparency & Trust: An environment that trusts each individuals’ ability and creativity to achieve the best outcome for the team. High levels of transparency to help you get exposure to what’s happening across the business.
Great Salary & Equity: Along with competitive salaries, our top performers and leaders get stock options. As Almabase continues to grow, you’ll have a real opportunity to create wealth for yourself and your family.
More than just work: One big secret to our success (shhh… this is just between us) is finding the balance between work and play. We have plenty of activities throughout the year that help build esprit de corps – whether they are intense cricket/football/basketball matches, or fun-filled music/dance/trivia/game nights."
ExcelR Solutions,Business Manager - Bangalore,Bengaluru,"Company Overview
Founded in 2014, ExcelR has grown to become a leading giant in the space of Training and Consulting, helping students and professionals across the globe by delivering top-notch, world-class classroom and online training. We house a passionate bunch of professionals who are committed to answering the industry's needs in the ever-changing technological advancements and catering to all your needs.
With world headquarters in the USA and presence in the UK, Middle East, Australia, Netherlands, and India, we have set up a firm global footprint transcending boundaries and reaching out to students from far and wide. Our passionate and dedicated team of experts has successfully trained over 140,000 students and professionals in multifarious domains which include Data Science, Project Management, ServiceNow, and Digital Marketing to name a few, and are committed to raising your excellence.
Job Overview
We are seeking an experienced Inside Sales Manager to join our team at ExcelR Solutions. As an Inside Sales Manager, you will be responsible for driving sales growth by leading a team of Inside Sales Representatives. This is a senior-level position requiring 6 to 10 years of experience in sales. The job is located in Bangalore Urban, Karnataka, India and is a full-time role.
Qualifications and Skills
7-10 years of experience in inside sales or a related field
Proven track record of achieving sales targets
Excellent communication and interpersonal skills
Ability to build and maintain strong relationships with clients
Strong negotiation and closing skills
Experience in lead generation and prospecting
Familiarity with sales metrics and KPIs
Previous experience in sales management
Strategic thinking and problem-solving abilities
Ability to work in a fast-paced and dynamic environment
Roles and Responsibilities
Develop and implement sales strategies to achieve revenue goals
Manage and lead a team of Inside Sales Representatives
Build and maintain strategic partnerships with key clients and stakeholders
Monitor sales metrics and analyze data to identify areas of improvement
Collaborate with other departments, such as Marketing and Product Management, to optimize sales processes
Coach and mentor Inside Sales Representatives to achieve individual and team targets
Utilize CRM software to track and manage sales activities
Stay up-to-date with industry trends and competitors' strategies.
If interested, please call HR Sunitha J A-9945936749 or mail your resume to sunitha.ja@excelr.com or apply.
Job Types: Full-time, Permanent
Pay: ₹1,000,000.00 - ₹1,500,000.00 per year
Benefits:
Health insurance
Leave encashment
Provident Fund
Schedule:
Day shift
Morning shift
Experience:
total work: 7 years (Required)
Work Location: In person"
m360 Research,"Trainee - OE Coding, Data Services",Bengaluru,"Company Description

About m360 Research: m360 Research is a full-service market research agency specializing in the healthcare space. Our proprietary panels include over 1 million physicians across 75 specialties in addition to substantial communities of allied HCPs, and payers. Founded in 2004, with a strong provenance in technology and innovation, m360 is committed to high quality and actionable insights, underpinned by robust physician verification and ISO certification (9001, 20252, 27001). International fieldwork services are complemented by full service advanced analytics to power data-driven decision making.
About M3: m360 Research is a wholly owned subsidiary of M3, a Japanese global leader in the provision of ground-breaking and innovative technological and research solutions to the healthcare industry. The M3 Group operates in the US, Asia, and Europe with over 5.8 million physician members globally via its physician websites which include mdlinx.com, m3.com, research.m3.com, Doctors.net.uk, medigate.net, and medlive.cn. M3 Inc. is a publicly traded company on the Tokyo Stock Exchange (jp:2413, NIKKEI 225) with subsidiaries in major markets including the US, UK, Japan, South Korea, and China, and in 2020 was ranked in Forbes’ Global 2000 list. The M3 Group provides services to healthcare and the life science industry. In addition to market research, these services include medical education, ethical drug promotion, clinical development, job recruitment, and clinic appointment services. M3 has offices in Japan, UK, France, Germany, Brazil, Sweden, China, USA, and South Korea, as well as India.

Job Description

Hiring Fresher Science Graduate who have completed the Bachelor's degree in science and willing to work in Night Shift and work from Office for Market Research Company.
ROLES DESCRIPTION
KEY RESPONSIBILITIES
Coding (Open end coding & Branding) and Quality checks on Excel.
Prepare code frame as per responses and send for approval to client.
Performing quality checks at various levels of projects to maintain standard of quality with accuracy.
Monitoring the progress of the project in field/checking for documents/coordinating with client service contact and project manager for project status/requirements.
Acknowledging projects from the clients.
Ensure the project is delivered with error free output and meeting the TAT (turnaround time).
Prepare the feedback report for the project and analyse on the basis of accuracy, and efficiency.
Creation of Code frames by reviewing previous wave code frames, if available, or else creating them from Scratch and getting those approved for Research team.
Timely coding the interim data and keeping the Open-end coding of Survey data up to date.
Understanding the Healthcare terminologies

Qualifications
Bachelor's degree in Science and Pharma
Person should have a good Communication both reading and writing in English.
Hands on with computer applications like MS office (word / excel)
Willing to work in US EST Shift (6:00 PM to 3:00 AM IST).
Work from Bangalore office.

Additional Information

All your information will be kept confidential according to EEO guidelines."
unleashtek,Customer support,Bengaluru,"Hi ,

Greetings of the Day!

We have Immediate Openings for customer support for USA process

Marketing support specialists perform tasks that are related to marketing and promoting products. . They are responsible for collaborating with other marketing professionals and sales staff and may be involved in shaping the brand message for the company or for specific products

Selection Process : Communication and HR Round.
Number of Rounds : 2 Rounds
Company : UnleashTek Pvt Ltd
Job Role : customer support
Job Location : Bangalore
Joining : Immediately

Eligibility Criteria :
Minimum 10+2+4 years of education (Full Time)
2018 to 2020 batch pass outs in any degree All streams.
Excellent communication skills
Willing to work in 24/7 Shifts
Languages : Hindi And English"
Nielsen,Quality Analyst (TV),Bengaluru,"At Nielsen, we believe that career growth is a partnership. You ultimately own, fuel and set the journey. By joining our team of nearly 14,000 associates, you will become part of a community that will help you to succeed. We champion you because when you succeed, we do too. Embark on a new initiative, explore a fresh approach, and take license to think big, so we can all continuously improve. We enable your best to power our future.

The Quality Analyst will be accountable for maintaining the integrity of Nielsen’s television measurement reference data. This role proactively identifies potential risks to data quality and assists in all required investigations to ensure prompt and accurate resolution of issues, thoroughly processing automated tickets and incoming client support calls.
Job Responsibilities
Consistently execute day to day processes and policies
Timely and accurately resolve tickets in Service Now ticketing system according to Standard Operating Procedures (SOP) and Service Level Agreement (SLA) deadlines
Effectively escalate tickets that cannot be resolved per the SOPs to senior technicians and signal vendors to ensure maximum system availability
Consistently complete daily Quality Assurance reports according to SOPs
Notify clients of watermarking errors in their systems
Communicate effectively with signal vendors and clients to resolve issues and create positive relationships
Actively contribute to improve processes and documentation
Work in collaboration with other team members
Other duties as required
Position Requirements
Strong communication skills: interpersonal, telephone, email, and virtual interactions
Willingness to learn new tasks, maintain focus, recall and follow instructions
Ability to work in a fast paced, high volume environment within time critical deadlines
Computer literate with knowledge of Google Suite preferred
Associate or Bachelor degree in IT, Engineering Technology or similar disciplines
Experience with ServiceNow or other ticketing system highly desirable
Experience with radio or television broadcast equipment highly desirable

Physical Requirements
Ability to use a phone or wear a headset
Ability to use a computer, keyboard and mouse with high-speed internet access
Work environment is indoors, remote or in a Nielsen office location
Ability to work an assigned shift schedule which may include holidays and weekends, day, evening or night shifts to match USA time zones"
Oracle,Software Developer,Bengaluru,"Department Description: As part of the PeopleSoft Enterprise ESA development group, we develop new features and provide support for our international customers. The ALM suite of products primarily include Asset Management, Lease Administration and Maintenance Management. Our team is fully located in Bangalore with Strategy contacts in the USA.
Job Requirements Should be familiar with PeopleTools technologies (including peoplecode, application engine, application packages, fluid development) with a good understanding of database concepts and writing SQL. Good functional knowledge of ALM products is required. Fully competent in own area of expertise. Should be able to learn new products and technologies with ease.
Additional Details Should be able to demonstrate a good understanding of software engineering concepts and have strong problem solving skills. Should possess strong communication skills and be willing to work with globally distributed teams. Experience with designing complex features would also help.Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications.As a member of the software engineering division, you will perform high-level design based on provided external specifications. Specify, design and implement minor changes to existing software architecture. Build highly complex enhancements and resolve complex bugs. Build and execute unit tests and unit plans. Review integration and regression test plans created by QA. Communicate with QA and porting engineering as necessary to discuss minor changes to product functionality and to ensure quality and consistency across specific products.
Career Level - IC4

Job Requirements
Should be familiar with PeopleTools technologies (including peoplecode, application engine, application packages, fluid development) with a good understanding of database concepts and writing SQL. Good functional knowledge of ALM products is required. Fully competent in own area of expertise. Should be able to learn new products and technologies with ease.

Additional Details
Should be able to demonstrate a good understanding of software engineering concepts and have strong problem solving skills. Should possess strong communication skills and be willing to work with globally distributed teams. Experience with designing complex features would also help.
Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications.
As a member of the software engineering division, you will perform high-level design based on provided external specifications. Specify, design and implement minor changes to existing software architecture. Build highly complex enhancements and resolve complex bugs. Build and execute unit tests and unit plans. Review integration and regression test plans created by QA. Communicate with QA and porting engineering as necessary to discuss minor changes to product functionality and to ensure quality and consistency across specific products."
4mation,4M India - PMO,Bengaluru,"Maintaining the Project Office
Maintaining a Project and Contract administration
Overall responsibility for the Time to Invoice process
Communications with Project Managers, Consultants and other Stakeholders
Monitoring of multiple External and Internal projects, project tasks, checking the costs and compare
budget evaluations.
Supporting risk and issue management, scope and change management, resource management and
quality management.
Registration and preparation of action lists, issue logs, requests for changes and risk analyzes.
Contract Management
Checking and preparing data for invoicing, overtime and projects.
Reporting
Providing reports to senior management and stakeholders.
Evaluation of customer feedback.
Knowledge management
Creation and maintain Standard Operating Procedures (SOP).
Identifying project issues, improving the communication and making proposals for solutions to
management and other stakeholders.
Qualifications
Good communication skills (Concise, Friendly, Confident)
Analytically skilled.
Hands-on and Pro-active.
Problem solving mindset.
Good understanding characteristics of a Professional Services Organization
Knowledge of Project Management domain and PSA tooling.
Project Management related background or certifications like Prince2 or Agile is a plus
Experienced in working with ServiceNow is a plus
What's in it for you
Competitive salary
Provident fund
Employee health insurance
24 days of annual leave
Modern laptop
Internet, transportation and phone allowance
A modern, flexible, and multicultural workplace at an innovative and global company
Ambitious and kind colleagues from all over the world.
Our culture
Working at Plat4mation evolves around working from your internal drive to make a difference for people in
combination with having fun. We always go the extra mile to deliver on what we promise! Joy is what
connects us and what drives us to get the best out of ourselves. That's why we host several Fun4U activities
each year, like a global hackathon, drinks and inspiring lunch sessions (check out our Instagram page!). Your
development is our number one priority. This means you get room to grow. We strongly believe that
personal development and ambitions are key to our company's success. Because when you keep learning,
you continuously improve yourself. That's why we coach you on the job, but also help you to explore and
develop your interpersonal skills.
About Plat4mation Based in The Netherlands, Belgium, Germany, USA, India and Switzerland, we are an Elite
ServiceNow Partner dedicated to delivering world-class products and services for the ServiceNow platform.
Driven to realize maximum value in the IT, employee, and customer workflow experiences for each one of
our customers. We do this by providing a flawless customer experience utilizing our extensive expertise.
Since our inception in 2013, we have grown to more than 250 e

Employees globally, and we are still growing
strong! With a team of specialized consultants, we aim for the highest possible results while creating jaw
dropping experiences for our customers.
Interested?"
Aeries Technology,eLearning Developer,Bengaluru,"Job Id: Aeries/011/24-25
Industry IT-Software / Software Services / testing
Location Bangalore
Experience Range 2 - 5 Years
Qualification Graduation

Job Description
About Us
Aeries Technology is a Nasdaq listed global professional services and consulting partner, headquartered in Mumbai, India, with centers in the USA, Mexico, Singapore, and Dubai. We provide mid-size technology companies with the right mix of deep vertical specialty, functional expertise, and the right systems & solutions to scale, optimize and transform their business operations with unique customized engagement models. Aeries is Great Place to Work certified by GPTW India, reflecting our commitment to fostering a positive and inclusive workplace culture for our employees. Read about us at https://aeriestechnology.com
About Business Unit
Quickbase provides a cloud-based platform for creating business applications. The platform offers lowcode development, integration, and workflow orchestration. Quickbase also supports prototyping and application architecture
Roles and Responsibility

JOB DESCRIPTION

Position/Title:

eLearning Developer

Department:
Customer Success

Location:

Bangalore

Shifts (if any)

01:00 PM to 10:00 PM (IST)

This is a job description for one of Aeries’ preferred partner - Quickbase. In this role, you will be working directly for our partner – as an employee of Aeries.

THE TOP 5 REASONS TO JOIN US

Quickbase Center of Excellence:
In 2023, Quickbase set up its Center of Excellence (CoE) in partnership with Aeries – to consolidate its global operations in Bangalore, India.

This CoE is focused on providing best practices, research, support, and training.

About Quickbase
Our no-code platform lets you easily create, connect, and customize enterprise applications that fix visibility and workflow gaps without replacing a single system.
Founded in 1999, Quickbase has since become the leading application platform for dynamic work. Used for complex project and portfolio management, the platform empowers more than 6,000 customers to see, connect, and control their processes and data all in one centralized location. Named an Inc’s Best Businesses of 2022, see for yourself why Quickbase is at the forefront of business-led innovation at Quickbase.com. Quickbase – All together now.
Read about us at: https://www.quickbase.com/

About Aeries
Aeries is a technology services and solutions company, headquartered in Mumbai, India, with centers in USA, Mexico, Singapore, and Dubai

We enable mid-size technology product companies scale and optimize their business. At Aeries, we have various unique engagement models with our partners. One such model is this Global Technology Center that has been “Purpose Built” for Quickbase.

Read about us at https://aeriestechnology.com/careers/

Position Description: The eLearning Developer is central to crafting and delivering high-quality, on-demand training materials that equip customers with essential knowledge and skills. This role demands a solid combination of instructional design, content creation, and project management capabilities to ensure the production of compelling and impactful training resources.
Key Responsibilities:
Instructional Design: Engage in the design and development of comprehensive training curricula that meet learning objectives, utilizing a variety of instructional strategies and formats.
Content Creation: Lead the preparation work essential for creating engaging and interactive training content. This includes the inventory of training materials, editing videos, preparing storyboards, guides, presentations, assessments, and other necessary assets.
Content Management: Help oversee a centralized repository of training resources, guaranteeing that content is current, well-organized, and easily accessible to the intended audience.

Ideally, you will have:

Bachelor's degree in Instructional Design, Education, Communication, or a related field with proven experience in instructional design and training content development.
Profound understanding of adult learning principles and instructional design methodologies; in particular, the Successive Approximation Model (SAM), and Rapid Prototyping.
Proficiency in e-learning authoring tools and multimedia editing software. Highly preferred experience in Camtasia, SnagIt, Vyond, and Canva.
Creative thinking with the capability to transform complex concepts into clear, engaging, and interactive training content.
Detail-oriented with robust project management and organizational skills.
Excellent written and verbal communication skills.
Analytical skills to assess training effectiveness and implement data-driven improvements.
Adaptability to changing needs and the ability to swiftly learn new technologies.

WATCH OUR VIDEOS TO KNOW MORE ABOUT US!
ss"
Okulo Aerospace,Founder's Office Intern,Bengaluru,"Job Information
Industry
Airline - Aviation
City
Bangalore North
State/Province
Karnataka
Country
India
Zip/Postal Code
560016
Job Description
Who are we looking for?

Okulo Aerospace is an early-stage startup based out of Bengaluru, Karnataka. Combining renewable energy and precision engineering, we are currently developing solar-electric hybrid aerial platforms that will revolutionize aerial data acquisition. We envision a world where drones can fly continuously without having to land at all and we are currently in the first step towards realizing that vision. Founded by alumni from Purdue University (USA) and NIT-Trichy (India) with extensive research background and with a vision to nurture great teams and develop solutions for hard problems, we are looking at joining hands with the next generation of talented individuals looking to embark on this exciting journey. Being part of Okulo Aerospace allows you to become part of a small team that supports professional development while working together to achieve our mission.

About the role

As a founder’s Office intern, you will have a unique opportunity to gain insights into the inner workings of our company and directly support the founder in various tasks. This internship will provide you with valuable experience in entrepreneurship, business operations, and strategic decisions making.

Requirements
Currently enrolled in a bachelor’s or master’s degree program or preferably in business, entrepreneurship or a related field.
Strong organizational skills and the ability to prioritize tasks and manage time effectively
Excellent communication skills, both written and verbal
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint) and G Suite
Proactive attitude and analytical mindset in order to draw meaningful insight

What will you offer?

Assist the founder with administrative tasks such as managing emails, scheduling meetings, and organizing documents
Conduct research on industry trends, competitors, potential partnerships and other relevant topics to provide insights for strategic decision-making
Assist the founder in preparing materials for fundraising activities, including investor presentations, pitch desks and financial projections.
Collaborate with founder on special projects, which may include market analysis, business development initiatives or operational improvements
Draft and edit internal and external communications, including emails, presentations and memos.
Recognizing the sensitive nature of the information handled within the founder's office, maintain strict confidentiality regarding all company-related matters, discussions, and documents.

Benefits

Intellectual fulfillment and rapid personal/professional development
Fast- paced, innovative team and work environment
Flexible work hours, professional autonomy and team-oriented work culture with a flat hierarchy and strong meritocracy
Opportunity to transition into a full-time role"
